"","kME1","kME3","kME5","kME6","kME2","kME4","kME0"
"ABLIM2",0.0216595565854143,0.267898467226292,0.187977711801024,-0.0874974229521374,-0.174823818986675,-0.249849099890617,0.0444301928391455
"ABLIM3",0.256041041602033,-0.401508111543783,-0.106273591677311,0.0216141286887696,0.446694053734884,0.315834512677978,0.179983655783901
"ABO",-0.0543702983426349,-0.207054482410663,-0.18034598582805,0.00342194659485295,0.194459383868932,0.172747613198845,-0.0214759242394428
"ABP1",0.032901389658033,-0.600151873829761,-0.417468964994889,0.0547220061346725,0.793525833968357,0.458827001275464,-0.0102818317237627
"ABR",-0.21030261811255,-0.427397757781089,-0.479400375100514,-0.119999000904523,0.628215899204897,0.262049474971515,-0.171304216751011
"ABTB1",0.175488855832169,-0.0662352864358031,0.0618883844366868,-0.0740859317389729,0.294529745038433,-0.0260615419635135,0.272346860118122
"ABTB2",0.786843657754833,0.273911277604575,0.721976814093531,0.19991348270841,-0.221585417243766,-0.163360876059755,0.749360892694185
"ACAA1",0.575327446976755,0.0976915324087488,0.423643160795132,0.0715603293990788,-0.0361478951405735,-0.076126826943631,0.639762782793687
"ACAA2",0.445627048867173,0.21825359180197,0.427874785611936,0.0479811737012978,-0.180184319903098,-0.175604728617876,0.424384564563156
"ACACA",0.375059910751564,-0.1534351786774,0.137471796216399,-0.0254201179566151,0.25131862190252,0.0855739044195433,0.392689888990789
"ACACB",0.238797262375714,-0.0595332362844401,0.115082229674153,-0.0829281271396554,0.173117630402368,-0.0327477318549668,0.318391029556126
"ACAD10",-0.155867826227717,-0.19751675546301,-0.282427112718666,-0.139248445479368,0.273147352013036,0.126189084589504,-0.185708215387673
"ACAD11",0.545237177393703,-0.179181814642828,0.194597784852051,0.0324744339353156,0.244558985194677,0.127884689427394,0.452896629967125
"ACAD8",0.0245509622516971,-0.654086538267988,-0.503812496582452,-0.0868474177858103,0.891494989001909,0.433240914080796,-0.0176385041125414
"ACAD9",0.506886496418798,0.181116196109362,0.429598048143258,0.0455664242181926,-0.12020110961469,-0.174601870405456,0.433682458862056
"ACADL",-0.153261152453398,-0.684380705225021,-0.547618416887936,0.198871517302555,0.437642086542997,0.746778206891501,-0.204115495592134
"ACADM",-0.0208306718505022,-0.196687412089568,-0.154282751547275,-0.0357273424743992,0.199707116819744,0.129541334258339,-0.0303660495128342
"ACADS",0.0319476140676964,-0.264236257509039,-0.174220758278129,-0.0565703288458295,0.354208654753499,0.188878142051752,0.177803734695239
"ACADSB",0.747220320018705,0.0250006379613905,0.49213831014625,0.149325483968371,0.0157122450417336,0.00719219323434333,0.750437242557062
"ACADVL",0.372767717968398,-0.377963690189599,-0.0679812375175973,-0.0017484876399652,0.464413118760798,0.265520083884431,0.387422593625261
"ACAN",-0.0023275437173664,-0.445749775268862,-0.267220183349869,0.274857532412852,0.260959604005113,0.553148495344281,-0.0513452311367706
"ACAP1",0.157434568158834,-0.294329057557726,-0.106923700985252,0.0236122359629288,0.324661384513425,0.23304269237922,0.0986053703852341
"ACAP2",0.639841713867287,-0.229155701671305,0.239300884461311,0.0955557386889735,0.350570284722461,0.173097107547129,0.591969457332116
