sample_id,ME0,ME1,ME2,ME3,ME4,ME5,ME6
GSE152027_10005833142_R04C02,-0.0079330589987243,-0.0043042560290519,-0.0088888204248092,0.0125329862155613,-0.0195865271414089,0.0130281356978613,0.0167241582296571
GSE84727_100973330060_R01C01,0.020370623541613,0.018060788893383,0.0075107830601098,0.0111353153612748,-0.0189923510780302,0.0175973624080903,-0.044547340706849
GSE80417_9769100109_R01C02,-0.0357673526808948,-0.0417240336709293,0.0324397912029469,-0.0342142109018162,0.009992928911859,-0.0616091767605576,-0.0169897131849954
GSE80417_9878827143_R03C01,0.0140258498028247,0.0042065305172325,0.0261870422721961,-0.0234609996246142,0.0048422808305503,-0.0206642231092484,-0.0105547741991714
GSE147221_200090280128_R06C01,-0.0117070691282462,0.0019067112616537,0.0318353554060442,-0.0343360160176978,0.0201768488601053,-0.0185395629318077,0.0077793412783133
GSE147221_200049730102_R05C02,0.0041846350637891,0.0181495281285154,-0.0332583541722749,0.0209214109951593,-0.013301863268102,0.0357332873613123,0.0021279101945232
GSE147221_200090280090_R02C02,-0.0122703218176754,-0.0113996380043829,0.0011843934617971,-0.0162203891393423,0.0342243248876348,-0.0116973815268272,0.02186780493778
GSE84727_3998568054_R06C01,-0.0296893778263494,-0.0327075995581582,-0.0240257401268881,0.010856617635969,-0.0090958616039216,-0.0089114464296075,-0.0327392175293268
GSE147221_200379120065_R05C02,0.0076031575721993,0.0128203568612507,-0.0123062199513384,0.0027623419413602,-0.0003077804892943,0.014736562379872,-0.0002961748802439
GSE147221_200379120008_R06C01,-0.0083932109725373,-0.0173612342387217,4.00451357831413e-05,-0.0089206963044879,0.0087559970128543,-0.0138153897992203,-0.0053850627974685
GSE147221_200379120129_R01C01,-0.0042521428901257,-0.0060548331445859,-0.0318345219150633,0.0190041886445765,-0.0222850898934416,0.0099209628212052,-0.0064822062052312
GSE147221_200379120018_R05C02,0.0353039724498875,0.0279290248684095,0.0198735347470196,-0.0053763519700286,-0.0022514172675396,0.0241541074817371,0.0123254308411433
GSE80417_9934089078_R06C01,-0.0309068325984666,-0.0208194467213686,-0.0402228960588394,0.0343555582357056,-0.0269955792718852,0.0047330670912038,-0.0030759028676902
GSE80417_9828653035_R06C02,0.0071786677552632,0.0069528765676572,0.0013856562808033,-0.0173466889571026,0.0256096682034289,0.0035920511941316,0.0061900986465857
GSE147221_200049730138_R04C02,-0.0074836003828208,0.0081866861556777,0.018613215956453,-0.0228722055036713,0.0132070889833447,-0.015552873577579,0.0031024345735695
GSE80417_9829119260_R06C01,0.0075149032632917,0.0144991233077966,-0.0077529939702091,-0.0035990346411247,-0.0038788300271447,0.0073609246814414,-0.0066096785617206
GSE80417_9829119225_R03C02,-0.0115570497094625,-0.0188661041075962,0.0316555808334034,-0.008094378547346,-0.0067979636248565,-0.0216049300841648,-0.0390347366701514
GSE84727_3998952104_R02C02,0.0091294661768991,0.0154276027322723,-0.0108552339861843,0.0234000818949129,-0.0283236984896849,0.0210952164224103,-0.0128915881858245
GSE84727_101103430063_R02C02,-0.0233197296100684,-0.03828145692388,0.0051189829942375,0.0122585835363201,-0.0201993086602415,-0.0222119011026242,-0.0135503826392689
GSE147221_200049730101_R03C01,-0.0102920272021941,-0.0064125031582065,-0.0006023386107262,-0.0149764185173779,0.0415607075823975,-0.0060338528154051,0.0122935379358979
GSE147221_200090280090_R03C02,0.0300951693730926,0.0251267785364288,-0.0101369250712741,0.0180084593664096,-0.0218798652110847,0.0275208371201868,-0.0194974347993322
GSE80417_9980092060_R02C02,0.0184183641325488,0.0232336459906055,0.0101546521163826,-0.0240223855377688,0.0311145122904834,-0.0109861610235469,0.0172903584124341
GSE147221_200379120066_R01C01,0.0207651559170067,0.0025825061773315,-0.0268422953465507,0.0350004191237832,-0.0322203306526308,0.0378216705786275,0.0092187839130836
GSE147221_200090280129_R06C02,-0.012697354618692,-0.006448923159492,0.0021990230562728,-0.0073413924222969,0.0009075256654803,-0.0067671048287845,0.0176858167691845
GSE84727_101103430060_R01C01,0.0333002660762785,0.0122720791204197,-0.0355833260961935,0.0434203345040676,-0.040548911106951,0.0406406713189882,-0.0235378825874463
GSE84727_101103430134_R02C02,0.0030457785949006,-0.0034745615962391,-0.0626371812443602,0.0501600820508714,-0.0466099695343445,0.0290478370946764,-0.0255043885512527
GSE84727_3998567034_R02C02,-0.0212228097834384,-0.019943804351714,-0.0039612997952683,-0.0175122973822399,0.0277459401533376,-0.0209789451271359,-0.0111278481629777
GSE80417_9741950169_R06C01,0.0030834412852525,0.0213873772899868,0.0042257556804936,-0.0355324497246153,0.0290208384230657,-0.0032110514254775,0.0216877229720497
GSE147221_200090280128_R03C01,0.0294539672740761,0.029243597280522,0.0120861162462624,0.0056450281293157,-0.0128227738476993,0.021992076902896,0.0314306059427486
GSE80417_9829119260_R03C01,-0.0100951342638264,-0.0128165722776405,0.0068819916889447,0.0014637411148792,-0.0137577195010607,-0.0108978481808134,0.0019728045517827
GSE84727_101103430116_R04C02,3.35737930759401e-05,-0.0073306858737914,-0.0364340451097495,0.044138020267365,-0.0556918185495856,0.0178900742616453,-0.0474762790472451
GSE147221_200379120058_R04C01,0.0090021074943693,0.0107249269652252,0.0156802161921653,-0.0371741733242837,0.04771765678152,-0.0139373736770308,0.045702150770651
GSE84727_3998567027_R02C02,-0.035676412779407,-0.0216497358223605,0.0201215281006967,-0.0274235760566845,0.0206593271463092,-0.0303601217793643,-0.015781353394067
GSE80417_9829119225_R01C02,0.0226044209043016,0.0049003746179058,-0.0109257458661546,0.0066700439116657,0.008783851841623,0.0093150676262253,0.0455136202110114
GSE147221_200049730046_R06C01,0.0233884705711302,0.0414942506154887,-0.0683888987121301,0.055850387461843,-0.0359491592105227,0.0602035115118754,0.0883745070743568
GSE147221_200379120065_R01C02,-0.0058381137931481,-0.0150989669256429,0.0334076494321567,-0.0418289144819246,0.0228918601865467,-0.0418648187000611,0.0198804074029113
GSE152027_10005833142_R05C02,0.04175222468136,0.0558765484273696,0.0016751812161297,-0.0022875708755327,0.0113533357713724,0.0315066582338905,0.0337857290577964
GSE80417_9828653007_R03C02,0.0155498690647417,0.0087492952984966,0.0121051395029267,-0.012389425215862,-1.98533806985172e-06,-0.0033103630102329,-0.0329987378143763
GSE84727_101103430153_R01C01,0.0433757085860044,0.0213021123630275,-0.0725999796091436,0.0520040801649504,-0.0333554733952536,0.0509679038823187,0.0437344332517968
GSE80417_9980102021_R02C02,0.0059694490808805,-0.0252721738615439,0.0052444564984825,-0.0067277107749074,0.0260006819063489,-0.010518162190729,0.0083474652440643
GSE80417_9971851057_R01C01,-0.0117039783849991,-0.0171266906152933,-0.0171184405511025,-0.0047061264514761,0.0007374325846781,-0.0168787014933473,-0.0050921324442541
GSE152027_10005839096_R03C01,0.0163790346603134,0.0021877835613505,0.0314054563274861,-0.0382734603161374,0.037975764844377,-0.0150330902528693,0.0327362067940054
GSE84727_3998998070_R04C01,0.029107808646999,0.0074784791341098,0.0097676351152826,0.0005835278491849,-0.0082542794004388,0.003757600514934,-0.0225947353005176
GSE80417_9806233073_R03C01,0.0179475956364304,0.0113137772041963,0.0155571737938986,-0.0142713700041477,0.0079689304908823,0.0005324831028836,0.0026955532523347
GSE80417_9980092080_R05C02,-0.0043044743379804,-0.0037937526857322,-0.0295221744793661,0.0326521312621347,-0.0207091516976787,0.022088625202149,-0.0295432253614488
GSE147221_200379120147_R04C01,0.0002993364516799,-0.0052310954686449,0.0041555689984508,-0.0005781510052482,-0.0087930447824419,-0.0054288822455772,0.0377500524978845
GSE80417_9980092055_R01C02,0.0052210673513825,-0.0042084430718491,-0.0253707516815919,0.0279785437979227,-0.0198926056834437,0.0169898982805092,-0.0502567811208174
GSE84727_3998567004_R04C02,0.0028573603120574,0.0169591302211712,0.0057671333877859,0.0151788562470573,-0.0267395152991107,0.0214133878786796,-0.039178529724263
